0 123,322.43
1 125,686.11
2 128,095.10
3 130,550.25
4 133,052.47
5 135,602.64
6 138,201.69
7 140,850.55
8 143,550.19
9 146,301.57
10 149,105.68
11 151,963.54
12 154,876.18
13 157,844.64
14 160,869.99
15 163,953.33
16 167,095.77
17 170,298.44
18 173,562.49
19 176,889.11
20 180,279.48
21 183,734.84
22 187,256.42
23 190,845.51
24 194,503.38
25 198,231.36
26 202,030.79
27 205,903.05
28 209,849.53
29 213,871.64
30 217,970.85
31 222,148.62
32 226,406.47
33 230,745.93
34 235,168.56
35 239,675.96
36 244,269.75
37 248,951.58
38 253,723.15
39 258,586.18
40 263,542.42
